Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,gol_casa,gol_trasferta,risultato_1X2,xg_casa,xg_trasferta,pos_classifica_casa,pos_classifica_trasferta,punti_totali_casa,punti_totali_trasferta,punti_m5_pond_gen_casa,punti_m5_pond_gen_trasferta,punti_m5_pond_split_casa,punti_m5_pond_split_trasferta,xg_m5_pond_gen_casa,xg_m5_pond_gen_trasferta,xg_m5_pond_split_casa,xg_m5_pond_split_trasferta,xga_m5_pond_gen_casa,xga_m5_pond_gen_trasferta,xga_m5_pond_split_casa,xga_m5_pond_split_trasferta,gf_m5_pond_gen_casa,gf_m5_pond_gen_trasferta,gf_m5_pond_split_casa,gf_m5_pond_split_trasferta,gs_m5_pond_gen_casa,gs_m5_pond_gen_trasferta,gs_m5_pond_split_casa,gs_m5_pond_split_trasferta,diff_xg_gol_m5_gen_casa,diff_xg_gol_m5_gen_trasferta,h2h_punti_m5_casa,h2h_punti_m5_trasferta,h2h_gf_m5_casa,h2h_gs_m5_casa,h2h_xg_m5_casa,h2h_xg_m5_trasferta,h2h_split_punti_m5_casa,h2h_split_gf_m5_casa,giorni_riposo_casa,giorni_riposo_trasferta,partite_14gg_casa,partite_14gg_trasferta,is_derby,dist_champions_casa,dist_champions_trasferta,dist_europa_casa,dist_europa_trasferta,dist_salvezza_casa,dist_salvezza_trasferta,giornata_stagione,meta_stagione,tiri_m5_gen_casa,tiri_m5_gen_trasferta,tiri_porta_m5_gen_casa,tiri_porta_m5_gen_trasferta,corner_m5_gen_casa,corner_m5_gen_trasferta,cartellini_m5_gen_casa,cartellini_m5_gen_trasferta
F1,2015-01-11,Nantes,Metz,1595.44,1506.35,0,0,X,0.68,0.85,7,19,30,19,1.8,0.1333333333333333,1.4,0.0,0.6766666666666666,0.788,0.8166666666666667,0.6186666666666666,1.7673333333333332,1.5026666666666666,1.0046666666666666,1.7733333333333334,1.5333333333333334,0.4666666666666667,1.1333333333333333,0.6,1.4,1.8666666666666667,1.0666666666666669,2.6666666666666665,-0.8566666666666668,0.3213333333333333,1.6,1.0,1.2,0.6,0.62,1.22,1.8,1.0,14.0,14.0,0,0,0,-8,-19,-2,-13,10,-1,20,2,10.0,13.466666666666669,3.8,4.466666666666667,3.466666666666667,5.8,0.9333333333333332,2.066666666666667
F1,2015-01-11,Monaco,Bordeaux,1730.66,1616.88,0,0,X,0.93,0.73,5,6,32,31,2.8,0.9333333333333332,2.333333333333333,0.6666666666666666,1.1846666666666663,1.3886666666666665,1.584666666666667,0.912,0.9566666666666666,1.618,1.13,1.3446666666666665,1.2666666666666666,0.9333333333333332,1.5333333333333334,0.8,0.1333333333333333,2.6,0.5333333333333333,1.6,-0.082,0.4553333333333331,1.6,1.0,1.4,1.4,0.58,3.77,0.6,1.2,14.0,14.0,0,0,0,-6,-7,1,0,12,11,20,2,10.2,13.8,3.6666666666666665,5.133333333333334,5.466666666666667,5.4,1.8,1.2
E0,2015-01-11,Arsenal,Stoke,1857.14,1691.77,3,0,1,2.27,0.4,6,11,33,26,1.7333333333333334,1.8,2.6,1.4666666666666666,1.8666666666666667,1.198,2.3800000000000003,1.165333333333333,1.582,1.1013333333333335,0.9873333333333334,1.165333333333333,1.4666666666666666,1.1333333333333333,2.2666666666666666,0.9333333333333332,1.4666666666666666,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.4000000000000001,0.0646666666666666,1.4,1.4,1.2,1.0,2.02,2.5,3.0,2.0,10.0,10.0,2,2,0,-3,-10,0,-7,13,6,21,2,14.333333333333334,11.733333333333333,5.533333333333333,2.333333333333333,7.066666666666666,6.933333333333334,2.066666666666667,1.0
E0,2015-01-11,Man United,Southampton,1851.94,1753.29,0,1,2,1.19,1.16,3,4,37,36,1.5333333333333334,2.2666666666666666,3.0,1.3333333333333333,1.5473333333333334,1.6133333333333335,1.782,1.2446666666666668,1.1153333333333333,0.6046666666666667,1.157333333333333,0.8753333333333333,1.2666666666666666,1.9333333333333331,2.6666666666666665,1.2,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.9333333333333332,0.2806666666666668,-0.3199999999999998,2.2,0.4,1.8,1.2,0.8,1.83,2.6,2.2,10.0,10.0,2,2,0,1,0,3,2,17,16,21,2,9.066666666666666,11.8,4.4,4.133333333333334,6.066666666666666,3.4,1.6666666666666667,1.8
F1,2015-01-16,Bordeaux,Nice,1621.85,1554.0,1,2,2,1.2,0.94,6,12,32,25,0.8,1.6,1.8666666666666667,1.0,1.18,1.4660000000000002,1.6993333333333331,1.3286666666666664,1.4873333333333334,0.7853333333333334,1.6833333333333331,1.6266666666666665,0.6,1.4666666666666666,1.3333333333333333,1.2666666666666666,2.0,1.2666666666666666,2.4,1.6666666666666667,0.58,-0.0006666666666663,2.2,0.4,1.6,0.8,1.39,0.83,1.6,1.8,5.0,6.0,1,1,0,-6,-13,0,-7,12,5,21,2,12.066666666666666,12.066666666666666,5.266666666666667,5.4,4.2,6.266666666666667,1.2,1.5333333333333334
F1,2015-01-17,Lens,Lyon,1505.97,1740.36,0,2,2,0.97,1.17,19,1,19,42,1.1333333333333333,3.0,1.8666666666666667,2.1333333333333333,1.0626666666666666,2.698,1.3046666666666666,2.376,1.5026666666666666,0.7686666666666667,0.9266666666666664,1.2486666666666666,1.2666666666666666,3.466666666666667,1.5333333333333334,2.6666666666666665,1.5333333333333334,0.3333333333333333,0.7333333333333333,1.2,-0.2039999999999999,-0.7686666666666668,0.6,2.4,0.4,1.8,1.83,0.91,0.8,1.0,7.0,6.0,1,1,0,-19,4,-13,10,-1,22,21,2,12.0,15.866666666666667,4.0,7.866666666666666,6.066666666666666,3.6666666666666665,2.8666666666666667,1.2666666666666666
F1,2015-01-17,Lorient,Lille,1550.38,1643.42,1,0,1,1.55,0.69,16,12,20,27,0.6666666666666666,2.2666666666666666,1.4,0.2666666666666666,1.5413333333333332,1.0193333333333332,2.095333333333333,0.598,1.7320000000000002,0.6153333333333334,1.0066666666666668,1.464,1.5333333333333334,1.2666666666666666,1.5333333333333334,0.6,2.2,0.4666666666666667,1.2666666666666666,1.5333333333333334,0.0079999999999997,-0.2473333333333334,0.6,2.4,0.6,2.4,0.34,0.78,1.4,1.2,7.0,7.0,1,2,0,-18,-11,-12,-5,0,7,21,2,13.933333333333334,11.933333333333334,5.333333333333333,3.6,3.733333333333333,4.0,0.3333333333333333,1.0
F1,2015-01-17,Toulouse,Bastia,1550.63,1553.65,1,1,X,0.27,0.76,16,15,21,21,0.4666666666666667,1.8666666666666667,0.7333333333333333,0.5333333333333333,0.612,1.3153333333333337,1.2493333333333334,1.0546666666666664,1.628,0.8106666666666666,1.5306666666666666,0.7386666666666667,0.4,2.066666666666667,1.1333333333333333,0.6,2.2,1.2,1.6,1.1333333333333333,0.2119999999999999,-0.7513333333333334,0.4,2.2,0.4,1.2,0.71,1.15,1.0,0.5,6.0,7.0,1,1,0,-17,-17,-11,-11,1,1,21,2,8.533333333333333,9.866666666666667,2.466666666666667,3.933333333333333,4.8,3.2,2.466666666666667,2.8
F1,2015-01-17,Metz,Montpellier,1510.76,1609.27,2,3,2,1.48,2.65,17,8,20,29,0.4,1.8666666666666667,0.7333333333333333,1.3333333333333333,0.7799999999999999,1.0586666666666669,1.3866666666666667,1.386,1.2466666666666668,0.7626666666666666,1.1053333333333333,1.2773333333333334,0.3333333333333333,1.8,0.8,1.2666666666666666,1.2666666666666666,1.0666666666666669,1.2,0.5333333333333333,0.4466666666666666,-0.7413333333333332,1.4,1.4,0.6,1.2,1.52,1.59,2.0,1.0,6.0,8.0,1,1,0,-18,-9,-12,-3,0,9,21,2,12.533333333333331,8.733333333333333,4.2,3.8666666666666663,5.533333333333333,4.0,2.333333333333333,1.7333333333333334
F1,2015-01-17,Monaco,Nantes,1725.69,1591.03,1,0,1,2.22,1.23,5,8,33,31,2.333333333333333,1.7333333333333334,1.9333333333333331,1.6,1.114,0.6626666666666667,1.2986666666666666,0.7846666666666666,0.866,1.5579999999999998,1.012,1.6939999999999995,0.8666666666666667,1.1333333333333333,1.0,1.3333333333333333,0.0,0.8666666666666667,0.3333333333333333,1.4,0.2473333333333334,-0.4706666666666665,2.0,0.8,1.4,0.8,0.84,2.59,2.0,1.8,6.0,6.0,1,1,0,-5,-7,1,-1,13,11,21,2,11.6,10.133333333333333,3.733333333333333,2.933333333333333,7.866666666666666,3.466666666666667,1.5333333333333334,0.8666666666666667
