Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,gol_casa,gol_trasferta,risultato_1X2,xg_casa,xg_trasferta,pos_classifica_casa,pos_classifica_trasferta,punti_totali_casa,punti_totali_trasferta,punti_m5_pond_gen_casa,punti_m5_pond_gen_trasferta,punti_m5_pond_split_casa,punti_m5_pond_split_trasferta,xg_m5_pond_gen_casa,xg_m5_pond_gen_trasferta,xg_m5_pond_split_casa,xg_m5_pond_split_trasferta,xga_m5_pond_gen_casa,xga_m5_pond_gen_trasferta,xga_m5_pond_split_casa,xga_m5_pond_split_trasferta,gf_m5_pond_gen_casa,gf_m5_pond_gen_trasferta,gf_m5_pond_split_casa,gf_m5_pond_split_trasferta,gs_m5_pond_gen_casa,gs_m5_pond_gen_trasferta,gs_m5_pond_split_casa,gs_m5_pond_split_trasferta,diff_xg_gol_m5_gen_casa,diff_xg_gol_m5_gen_trasferta,h2h_punti_m5_casa,h2h_punti_m5_trasferta,h2h_gf_m5_casa,h2h_gs_m5_casa,h2h_xg_m5_casa,h2h_xg_m5_trasferta,h2h_split_punti_m5_casa,h2h_split_gf_m5_casa,giorni_riposo_casa,giorni_riposo_trasferta,partite_14gg_casa,partite_14gg_trasferta,is_derby,dist_champions_casa,dist_champions_trasferta,dist_europa_casa,dist_europa_trasferta,dist_salvezza_casa,dist_salvezza_trasferta,giornata_stagione,meta_stagione,tiri_m5_gen_casa,tiri_m5_gen_trasferta,tiri_porta_m5_gen_casa,tiri_porta_m5_gen_trasferta,corner_m5_gen_casa,corner_m5_gen_trasferta,cartellini_m5_gen_casa,cartellini_m5_gen_trasferta
SP1,2015-01-30,Vallecano,La Coruna,1669.15,1639.83,1,2,2,1.32,2.39,10,16,23,18,1.2,0.9333333333333332,0.4,0.5333333333333333,1.218,1.1166666666666667,1.4439999999999995,0.5906666666666668,0.9826666666666666,1.1573333333333335,1.3686666666666667,1.395333333333333,0.9333333333333332,0.8,0.5333333333333333,0.0,1.5333333333333334,1.9333333333333331,1.5333333333333334,1.2,0.2846666666666666,0.3166666666666666,1.0,1.6,1.0,1.4,2.24,1.9,1.75,1.5,6.0,5.0,2,2,0,-18,-23,-15,-20,6,1,21,2,13.933333333333334,10.533333333333331,4.133333333333334,4.733333333333333,4.733333333333333,4.266666666666667,2.466666666666667,2.8
F1,2015-01-30,Paris SG,Rennes,1828.52,1580.83,1,0,1,1.85,0.46,3,10,44,30,1.9333333333333331,0.4666666666666667,2.466666666666667,1.4,2.114,0.9293333333333332,2.083333333333333,1.094,0.564,0.9453333333333334,0.2739999999999999,1.0293333333333332,1.8,0.6666666666666666,2.0,0.9333333333333332,1.4,2.066666666666667,0.8666666666666667,1.1333333333333333,0.3139999999999998,0.2626666666666667,1.4,1.4,1.6,1.2,1.49,0.29,1.0,1.2,5.0,5.0,2,2,0,4,-10,9,-5,22,8,23,2,10.933333333333334,9.733333333333333,4.666666666666667,3.6666666666666665,4.266666666666667,3.533333333333333,2.333333333333333,0.7333333333333333
D1,2015-01-31,Freiburg,Ein Frankfurt,1645.76,1685.08,4,1,1,3.19,1.12,18,9,15,23,0.6666666666666666,1.2,1.0,0.9333333333333332,0.9526666666666668,2.362,1.4026666666666665,1.5666666666666669,1.8133333333333332,1.7426666666666668,1.4853333333333334,1.602666666666667,0.8666666666666667,2.6,1.2,1.5333333333333334,1.6,2.2666666666666666,1.6,1.6666666666666667,0.0859999999999999,-0.238,1.0,1.6,1.2,1.0,1.38,1.75,1.2,1.2,14.0,14.0,0,0,0,-12,-4,-12,-4,0,8,18,1,7.8,14.733333333333333,3.466666666666667,6.866666666666666,3.8,4.133333333333334,2.4,2.2666666666666666
D1,2015-01-31,Stuttgart,MGladbach,1623.39,1770.73,0,1,2,1.61,1.27,15,5,17,27,1.5333333333333334,1.4,0.4,0.4666666666666667,1.044,1.7953333333333332,0.7233333333333333,1.27,1.024,1.14,1.66,1.502,0.7333333333333333,2.0,0.2,0.8,0.8,1.4666666666666666,2.0,1.2666666666666666,0.3106666666666667,-0.2046666666666667,1.6,1.0,1.2,1.0,0.43,2.41,1.8,2.2,14.0,14.0,0,0,0,-12,-2,-10,0,0,10,18,1,12.466666666666669,10.866666666666667,4.0,6.0,5.0,4.933333333333334,1.6,1.5333333333333334
D1,2015-01-31,Hamburg,FC Koln,1612.71,1629.36,0,2,2,0.6,1.16,15,11,17,19,0.9333333333333332,0.8666666666666667,1.8666666666666667,1.4,1.0233333333333334,0.7273333333333334,1.51,0.8366666666666667,1.486666666666667,0.8853333333333334,1.1166666666666667,1.1693333333333331,0.3333333333333333,0.9333333333333332,1.1333333333333333,1.6666666666666667,0.6,1.4666666666666666,0.6666666666666666,2.333333333333333,0.6900000000000002,-0.2059999999999999,1.4,1.4,2.4,1.8,0.91,0.52,1.8,3.0,14.0,14.0,0,0,0,-10,-8,-10,-8,0,2,18,1,12.133333333333333,9.4,4.0,3.2,4.4,4.8,1.7333333333333334,0.8666666666666667
D1,2015-01-31,Schalke 04,Hannover,1770.29,1681.85,1,0,1,2.0,0.92,5,8,27,24,1.7333333333333334,1.3333333333333333,1.5333333333333334,1.2,1.3893333333333333,1.5166666666666666,1.408,1.4713333333333334,1.288,1.3653333333333333,1.3806666666666667,1.4793333333333334,1.5333333333333334,2.1333333333333333,1.5333333333333334,2.4,0.7333333333333333,1.9333333333333331,1.0,2.2666666666666666,-0.1440000000000001,-0.6166666666666667,1.4,1.4,2.2,2.0,0.96,1.18,2.4,2.6,14.0,14.0,0,0,0,0,-3,0,-3,10,7,18,1,15.6,13.733333333333333,6.8,6.0,5.2,7.466666666666667,1.4666666666666666,2.1333333333333333
D1,2015-01-31,Leverkusen,Dortmund,1800.93,1800.74,0,0,X,0.34,0.45,3,18,28,15,1.5333333333333334,0.6666666666666666,1.5333333333333334,0.1333333333333333,1.2806666666666666,0.9766666666666668,1.364,0.8966666666666666,1.026,1.4873333333333334,1.0346666666666666,1.6980000000000002,1.1333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.7333333333333333,1.5333333333333334,0.8,1.7333333333333334,0.1473333333333333,-0.0233333333333333,1.4,1.4,1.4,1.6,1.15,0.48,0.6,1.2,14.0,14.0,0,0,0,1,-12,1,-12,11,-2,18,1,16.6,16.466666666666665,5.2,5.466666666666667,5.866666666666666,6.466666666666667,3.066666666666667,0.7333333333333333
SP1,2015-01-31,Real Madrid,Sociedad,2075.21,1744.58,4,1,1,4.01,1.06,1,12,48,22,2.6,1.6666666666666667,3.0,0.8,2.0893333333333333,0.7606666666666667,2.298666666666666,0.64,0.948,1.09,0.6606666666666665,1.7573333333333332,2.466666666666667,0.7333333333333333,3.533333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.3333333333333333,1.4666666666666666,-0.3773333333333335,0.0273333333333334,2.0,0.8,3.6,2.2,2.32,2.74,2.6,3.8,7.0,7.0,2,2,0,7,-19,10,-16,30,4,20,2,17.866666666666667,12.0,6.333333333333333,3.1333333333333333,8.533333333333333,7.0,2.933333333333333,2.066666666666667
SP1,2015-01-31,Granada,Elche,1635.74,1638.88,1,0,1,1.51,0.21,20,17,15,17,0.6,1.5333333333333334,0.9333333333333332,1.1333333333333333,0.8193333333333332,1.1013333333333333,1.7646666666666666,0.938,1.496,2.18,0.9553333333333334,1.0713333333333332,0.9333333333333332,1.0,0.8,0.7333333333333333,1.7333333333333334,2.6,1.0666666666666669,1.4,-0.1140000000000001,0.1013333333333332,2.333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.76,1.36,3.0,1.0,6.0,7.0,2,2,0,-26,-24,-23,-21,-2,0,21,2,9.466666666666669,10.6,1.8666666666666667,4.866666666666666,5.2,3.0,2.466666666666667,4.666666666666667
F1,2015-01-31,Marseille,Evian Thonon Gaillard,1700.25,1534.61,1,0,1,2.37,0.09,3,16,44,23,1.2,1.2,3.0,0.2,1.148,0.6086666666666666,1.3993333333333335,0.5826666666666667,1.2186666666666668,1.9366666666666668,0.9893333333333332,1.8820000000000003,1.3333333333333333,1.0666666666666669,2.2666666666666666,1.0666666666666669,1.5333333333333334,1.6,0.8666666666666667,2.6666666666666665,-0.1853333333333333,-0.4580000000000001,2.6,0.2,1.8,0.6,1.12,0.91,3.0,1.6666666666666667,8.0,6.0,2,2,0,4,-17,8,-13,22,1,23,2,15.066666666666666,6.666666666666667,4.0,2.2,5.266666666666667,4.866666666666666,2.6666666666666665,1.0
F1,2015-01-31,Lens,Bastia,1505.97,1553.65,1,1,X,2.09,0.85,19,14,20,23,0.8,1.5333333333333334,1.4,0.6,1.4926666666666668,1.1866666666666663,1.2213333333333334,1.0233333333333334,1.308,0.7346666666666667,0.9153333333333332,0.5706666666666667,0.4666666666666667,1.3333333333333333,1.0666666666666669,0.7333333333333333,1.1333333333333333,0.8,1.0,1.1333333333333333,1.0260000000000002,-0.1466666666666667,1.0,1.6,1.0,1.6,0.3,0.69,2.5,3.25,6.0,7.0,2,2,0,-20,-17,-15,-12,-2,1,23,2,14.266666666666667,7.933333333333334,4.933333333333334,3.2,6.333333333333333,3.1333333333333333,1.4666666666666666,2.1333333333333333
F1,2015-01-31,Lorient,Montpellier,1550.38,1609.27,0,0,X,0.75,0.14,15,6,23,35,1.0,2.6,1.9333333333333331,2.0,1.602666666666667,1.348666666666667,1.9933333333333327,1.8593333333333333,1.6493333333333335,0.7826666666666668,0.8719999999999999,1.334666666666667,1.4666666666666666,2.7333333333333334,1.4,1.9333333333333331,1.9333333333333331,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.1360000000000001,-1.3846666666666667,1.4,1.4,1.6,1.6,0.38,1.49,1.8,2.0,7.0,7.0,2,2,0,-17,-5,-12,0,1,13,23,2,14.733333333333333,10.066666666666666,5.333333333333333,4.466666666666667,3.6,3.8666666666666663,0.9333333333333332,0.9333333333333332
F1,2015-01-31,Toulouse,Reims,1550.63,1565.03,1,0,1,1.07,0.27,17,11,22,29,0.4,0.9333333333333332,0.8,1.0,0.7873333333333333,1.204,0.9186666666666666,1.0693333333333337,0.972,2.0206666666666666,1.3033333333333332,1.7913333333333334,0.4,1.0666666666666669,1.0666666666666669,1.4,1.5333333333333334,1.7333333333333334,1.4,2.066666666666667,0.3873333333333333,0.1373333333333333,1.6,1.0,1.4,1.4,1.54,0.3,2.0,2.0,6.0,6.0,2,2,0,-18,-11,-14,-7,0,7,23,2,9.933333333333334,14.733333333333333,3.533333333333333,3.933333333333333,5.2,6.133333333333334,2.333333333333333,2.8666666666666667
F1,2015-01-31,Metz,Nice,1510.76,1554.0,0,0,X,0.76,0.12,20,8,20,31,0.2,2.466666666666667,0.4,1.6,0.7513333333333333,1.5433333333333332,1.4173333333333331,1.092666666666667,1.6373333333333333,1.1033333333333333,1.6333333333333333,1.4633333333333334,0.6,1.8,1.1333333333333333,1.2666666666666666,1.8,1.0666666666666669,1.8,1.4666666666666666,0.1513333333333333,-0.2566666666666668,0.6,2.4,0.8,1.6,0.51,0.79,1.75,1.0,6.0,8.0,2,1,0,-20,-9,-16,-5,-2,9,23,2,8.466666666666667,10.733333333333333,3.1333333333333333,3.6666666666666665,4.2,5.533333333333333,2.066666666666667,3.2666666666666666
F1,2015-01-31,Nantes,Lille,1591.03,1643.42,1,1,X,1.38,0.63,9,13,31,27,0.8,1.0,1.3333333333333333,0.2,0.804,0.7766666666666666,0.7726666666666666,0.6473333333333333,1.682,0.942,0.96,1.4280000000000002,0.4,0.4,0.8,0.4666666666666667,1.8,0.7333333333333333,0.7333333333333333,1.3333333333333333,0.404,0.3766666666666666,0.2,2.6,0.0,1.4,0.99,1.46,0.4,0.6,7.0,7.0,2,2,0,-9,-13,-5,-9,9,5,23,2,12.6,12.066666666666666,3.733333333333333,2.7333333333333334,3.533333333333333,5.4,1.2,1.2
E0,2015-01-31,Hull,Newcastle,1585.93,1661.07,0,3,2,0.99,0.51,18,11,19,27,0.8,0.6,1.1333333333333333,0.1333333333333333,0.9253333333333332,0.9373333333333332,1.4193333333333331,0.7426666666666667,1.411333333333333,1.03,0.9433333333333332,1.498,0.6,1.4,0.7333333333333333,0.6,1.4666666666666666,2.2666666666666666,0.6,2.466666666666667,0.3253333333333332,-0.4626666666666666,1.6,1.0,1.8,2.0,0.85,1.92,0.5,1.0,13.0,14.0,1,1,0,-21,-13,-18,-10,-1,7,23,2,12.266666666666667,12.533333333333331,3.533333333333333,4.2,4.866666666666666,6.466666666666667,1.6666666666666667,1.6
E0,2015-01-31,Liverpool,West Ham,1802.0,1701.86,2,0,1,2.28,0.38,8,7,35,36,2.6,1.4666666666666666,1.6666666666666667,0.9333333333333332,2.076,1.498,2.1373333333333333,0.78,0.7420000000000001,1.4633333333333334,0.8746666666666667,2.046666666666667,1.9333333333333331,1.6,2.2,0.8666666666666667,0.5333333333333333,0.8666666666666667,1.3333333333333333,1.3333333333333333,0.1426666666666667,-0.102,2.0,0.8,2.0,1.4,0.38,1.26,2.2,2.0,14.0,13.0,1,1,0,-5,-4,-2,-1,15,16,23,2,16.666666666666668,12.466666666666669,5.6,4.466666666666667,5.0,4.0,2.0,1.4
E0,2015-01-31,Man United,Leicester,1837.43,1607.09,3,1,1,1.74,0.38,4,20,40,17,1.5333333333333334,1.4,2.0,1.1333333333333333,1.4486666666666668,1.098666666666667,1.6253333333333333,0.818,1.0886666666666664,1.2006666666666663,1.2226666666666666,2.008,1.0666666666666669,0.8666666666666667,1.8666666666666667,1.2,0.5333333333333333,0.8666666666666667,0.7333333333333333,1.5333333333333334,0.3820000000000001,0.2319999999999999,2.4,0.6,2.4,1.2,1.71,2.54,3.0,2.0,14.0,14.0,1,1,0,0,-23,2,-21,20,-3,23,2,9.666666666666666,10.466666666666669,3.6666666666666665,3.066666666666667,4.266666666666667,5.466666666666667,1.8,1.6
E0,2015-01-31,Stoke,QPR,1688.8,1572.84,3,1,1,0.78,1.12,11,19,29,19,1.8,0.3333333333333333,1.5333333333333334,0.0,0.8886666666666666,1.5313333333333332,1.348,1.218,1.1666666666666667,1.6306666666666667,1.3173333333333332,1.7546666666666666,0.8666666666666667,0.5333333333333333,1.3333333333333333,0.8,1.0,1.5333333333333334,1.1333333333333333,2.1333333333333333,0.0219999999999999,0.998,1.4,1.4,1.4,1.2,1.46,1.06,1.5,1.5,14.0,14.0,1,1,0,-13,-23,-9,-19,9,-1,23,2,10.933333333333334,17.866666666666667,2.466666666666667,4.933333333333334,5.0,4.733333333333333,1.0,2.8666666666666667
E0,2015-01-31,Sunderland,Burnley,1639.28,1602.21,2,0,1,1.9,1.35,16,17,20,20,0.1333333333333333,1.1333333333333333,0.2666666666666666,0.8,0.8666666666666667,1.4446666666666668,0.8373333333333335,1.1946666666666663,1.7560000000000002,1.1366666666666665,1.3126666666666664,1.4893333333333334,0.8,2.066666666666667,0.6,1.8666666666666667,1.7333333333333334,2.2,1.8666666666666667,2.2666666666666666,0.0666666666666666,-0.6220000000000001,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.64,0.71,3.0,2.0,14.0,14.0,1,1,0,-22,-22,-18,-18,0,0,23,2,7.6,12.8,3.0,4.4,5.6,6.266666666666667,2.6,1.8
E0,2015-01-31,West Brom,Tottenham,1617.94,1772.43,0,3,2,0.81,1.34,15,7,22,37,1.3333333333333333,1.9333333333333331,1.6,1.6,0.856,1.1286666666666667,1.4613333333333334,0.998,1.138,2.168,0.9833333333333332,1.9733333333333332,0.5333333333333333,2.066666666666667,0.9333333333333332,1.4,0.6666666666666666,1.5333333333333334,1.1333333333333333,1.6,0.3226666666666666,-0.9380000000000002,1.2,1.2,1.2,1.2,1.08,0.44,1.0,1.4,12.0,14.0,1,1,0,-20,-5,-16,-1,2,17,23,2,10.066666666666666,14.666666666666666,2.333333333333333,6.333333333333333,2.933333333333333,5.066666666666666,1.2,2.1333333333333333
E0,2015-01-31,Crystal Palace,Everton,1620.67,1746.28,0,1,2,1.21,1.36,13,12,23,23,2.1333333333333333,0.6,1.4,0.0,1.1246666666666665,1.152,1.3593333333333333,0.8393333333333334,1.0246666666666668,1.1826666666666663,0.9220000000000002,1.9266666666666667,1.6,0.5333333333333333,1.3333333333333333,0.6,1.1333333333333333,1.1333333333333333,1.5333333333333334,2.333333333333333,-0.4753333333333336,0.6186666666666668,1.4,1.4,1.4,2.2,1.63,2.56,0.5,0.5,14.0,12.0,1,1,0,-17,-17,-14,-14,3,3,23,2,12.533333333333331,12.666666666666666,3.8666666666666663,3.6,4.866666666666666,6.333333333333333,2.7333333333333334,2.466666666666667
E0,2015-01-31,Chelsea,Man City,1936.41,1943.1,1,1,X,0.71,0.91,1,2,52,47,2.1333333333333333,1.2,3.0,2.333333333333333,2.268,1.6406666666666667,2.0766666666666667,1.57,0.6393333333333334,1.25,0.3853333333333333,1.2006666666666668,3.066666666666667,1.3333333333333333,2.1333333333333333,2.066666666666667,1.1333333333333333,1.6666666666666667,0.0,0.7333333333333333,-0.7986666666666671,0.3073333333333334,1.6,1.0,0.8,0.8,1.02,1.06,2.0,1.6,14.0,13.0,1,1,0,12,7,15,10,32,27,23,2,16.0,18.066666666666663,7.133333333333334,5.4,4.466666666666667,11.466666666666669,1.0,2.533333333333333
I1,2015-01-31,Genoa,Fiorentina,1605.08,1699.79,1,1,X,2.29,0.77,7,6,28,31,0.4,1.8,1.0666666666666669,2.2,1.7446666666666668,1.942,2.027333333333333,2.372666666666667,2.458,1.3726666666666667,2.222,1.1886666666666663,1.6666666666666667,1.7333333333333334,1.7333333333333334,2.1333333333333333,2.466666666666667,1.4,1.8,0.8666666666666667,0.078,0.2086666666666667,0.4,2.2,1.4,2.4,0.23,2.1,1.0,1.4,5.0,6.0,2,2,0,-6,-3,-3,0,9,12,21,2,13.133333333333333,19.466666666666665,5.933333333333334,5.533333333333333,6.266666666666667,7.066666666666666,2.8,2.333333333333333
I1,2015-01-31,Roma,Empoli,1775.73,1526.29,1,1,X,0.71,1.07,2,16,42,19,1.2666666666666666,0.4666666666666667,1.4,0.8666666666666667,0.976,1.1313333333333333,1.2446666666666666,1.0793333333333333,1.0686666666666669,0.9266666666666664,0.8200000000000001,1.3733333333333333,1.1333333333333333,0.4,1.8,1.0,1.0,0.9333333333333332,1.3333333333333333,1.2,-0.1573333333333332,0.7313333333333333,2.0,0.8,1.2,0.8,1.37,0.59,3.0,2.0,6.0,5.0,2,2,0,8,-15,10,-13,23,0,21,2,13.2,15.0,4.866666666666666,4.0,3.933333333333333,6.733333333333333,3.2,1.7333333333333334
D1,2015-02-01,Werder Bremen,Hertha,1633.35,1627.6,2,0,1,0.84,0.1,16,14,17,18,1.4,0.8666666666666667,2.2666666666666666,0.9333333333333332,1.7333333333333334,1.142,2.3,1.336666666666667,1.6266666666666665,2.482,0.916,1.9433333333333327,2.066666666666667,1.5333333333333334,2.533333333333333,2.4,2.6666666666666665,3.2,1.2,2.8666666666666667,-0.3333333333333335,-0.3913333333333335,1.4,1.4,1.6,1.4,1.19,1.76,3.0,2.8,14.0,14.0,0,0,0,-13,-12,-12,-11,0,1,18,1,13.133333333333333,7.533333333333333,4.866666666666666,2.7333333333333334,3.8,2.6666666666666665,1.5333333333333334,2.4
D1,2015-02-01,Augsburg,Hoffenheim,1718.29,1717.84,3,1,1,2.39,0.61,6,7,27,26,1.6,1.8,2.2,1.0666666666666669,1.1613333333333336,2.1533333333333333,1.5593333333333337,1.73,1.7613333333333334,1.6353333333333335,1.7326666666666668,1.5253333333333332,1.1333333333333333,2.533333333333333,1.8,1.8666666666666667,1.8666666666666667,1.0,1.6,1.5333333333333334,0.0280000000000002,-0.3799999999999999,1.4,1.4,0.8,1.0,0.28,1.53,2.0,1.3333333333333333,14.0,14.0,0,0,0,-3,-4,0,-1,10,9,18,1,12.6,13.266666666666667,5.0,6.733333333333333,4.333333333333333,4.8,2.0,1.8
SP1,2015-02-01,Levante,Ath Bilbao,1676.94,1744.94,0,2,2,1.06,1.65,20,14,16,20,0.2666666666666666,0.3333333333333333,1.4,0.6666666666666666,0.918,0.904,1.0453333333333332,0.7899999999999999,1.456,1.5093333333333334,0.73,1.4653333333333332,0.2,0.6,0.8666666666666667,0.4666666666666667,1.0666666666666669,1.6666666666666667,0.6666666666666666,1.2666666666666666,0.718,0.3039999999999999,1.2,1.8,1.2,1.6,0.33,2.26,1.2,1.8,8.0,7.0,2,1,0,-25,-21,-22,-18,-2,2,21,2,9.933333333333334,11.066666666666666,1.5333333333333334,4.266666666666667,4.133333333333334,6.733333333333333,3.466666666666667,1.2666666666666666
SP1,2015-02-01,Almeria,Getafe,1642.22,1675.7,1,0,1,1.93,0.82,19,15,16,20,0.6,1.0666666666666669,0.0,0.6666666666666666,0.8193333333333332,1.012,1.0066666666666668,0.5660000000000001,1.7973333333333334,1.418,1.3873333333333335,1.0546666666666666,0.8666666666666667,1.0666666666666669,0.4,1.0666666666666669,2.333333333333333,1.8666666666666667,2.2666666666666666,1.4666666666666666,-0.0473333333333334,-0.0546666666666666,0.8,2.0,1.0,1.6,1.31,1.32,1.8,1.2,7.0,6.0,1,2,0,-25,-21,-22,-18,-2,2,21,2,10.0,9.733333333333333,2.7333333333333334,3.4,4.666666666666667,5.6,2.0,1.9333333333333331
SP1,2015-02-01,Sevilla,Espanol,1829.99,1703.96,3,2,1,3.33,0.9,5,9,39,26,1.8666666666666667,2.0,2.466666666666667,0.8,1.5933333333333333,1.5406666666666666,1.7453333333333334,1.0046666666666666,1.344,0.8033333333333332,0.6333333333333333,1.636,1.4,1.6,1.6666666666666667,1.2,1.0,0.9333333333333332,0.2,2.8,0.1933333333333333,-0.0593333333333334,2.6,0.2,2.8,1.0,1.36,0.95,1.6,1.6,7.0,7.0,2,1,0,-2,-15,1,-12,21,8,20,2,9.2,14.666666666666666,4.666666666666667,5.666666666666667,4.733333333333333,6.933333333333334,3.6,2.7333333333333334
SP1,2015-02-01,Barcelona,Villarreal,2021.54,1820.94,3,2,1,3.12,0.96,2,6,47,38,2.6,2.333333333333333,2.8,1.6666666666666667,2.8086666666666664,1.7786666666666666,2.951333333333333,1.382,0.5526666666666668,0.8640000000000001,0.5359999999999999,0.91,4.0,1.5333333333333334,4.0,1.4,0.3333333333333333,0.4666666666666667,0.7333333333333333,0.9333333333333332,-1.1913333333333336,0.2453333333333331,2.6,0.2,2.2,0.6,3.13,1.11,2.2,2.8,8.0,8.0,2,1,0,6,-3,9,0,29,20,21,2,14.466666666666669,15.266666666666667,6.8,5.0,3.8666666666666663,6.533333333333333,2.4,1.7333333333333334
F1,2015-02-01,Caen,St Etienne,1536.6,1691.21,1,0,1,2.22,1.0,18,4,21,40,1.9333333333333331,1.3333333333333333,1.4,1.8,1.342,0.7033333333333334,1.838,0.852,1.36,1.25,1.4526666666666666,0.6926666666666667,2.533333333333333,0.8,2.2,0.8,1.1333333333333333,0.5333333333333333,1.4666666666666666,0.2666666666666666,-1.1913333333333334,-0.0966666666666666,0.8,2.0,0.6,1.6,0.54,1.41,1.8,1.4,7.0,7.0,1,2,0,-19,0,-15,4,-2,17,23,2,11.0,9.133333333333333,4.2,2.466666666666667,4.2,7.133333333333334,0.7333333333333333,1.4
F1,2015-02-01,Bordeaux,Guingamp,1610.67,1559.53,1,1,X,0.77,0.72,7,13,33,28,0.5333333333333333,1.9333333333333331,1.2,0.8666666666666667,1.02,1.7873333333333334,1.5506666666666666,1.0766666666666669,1.3333333333333333,1.2633333333333332,1.5613333333333332,1.0153333333333334,0.3333333333333333,1.8666666666666667,1.2,1.2666666666666666,1.3333333333333333,1.3333333333333333,2.466666666666667,1.8,0.6866666666666668,-0.0793333333333332,2.4,0.6,2.6,1.0,0.29,1.69,2.4,2.6,8.0,8.0,1,2,0,-7,-12,-3,-8,10,5,23,2,10.466666666666669,11.2,4.0,4.2,3.0,5.266666666666667,1.7333333333333334,1.4666666666666666
F1,2015-02-01,Monaco,Lyon,1736.95,1748.92,0,0,X,0.84,0.55,5,1,39,48,2.6,3.0,2.333333333333333,2.466666666666667,1.2973333333333334,1.8113333333333332,1.5433333333333334,2.0893333333333333,0.9173333333333334,0.614,1.1013333333333335,1.1606666666666667,0.8,2.6666666666666665,0.9333333333333332,2.6,0.0,0.0,0.1333333333333333,0.8,0.4973333333333334,-0.8553333333333331,1.4,1.4,1.2,1.4,0.92,1.79,0.8,0.6,8.0,7.0,1,1,0,-1,8,3,12,15,24,23,2,10.866666666666667,14.666666666666666,3.1333333333333333,6.066666666666666,5.666666666666667,3.4,1.4666666666666666,1.0666666666666669
E0,2015-02-01,Arsenal,Aston Villa,1866.28,1603.07,5,0,1,2.36,0.71,6,16,39,22,2.4,0.3333333333333333,2.8,0.4666666666666667,1.8626666666666667,0.9053333333333332,2.2546666666666666,0.734,1.0046666666666668,1.4146666666666663,0.808,1.498666666666667,1.8666666666666667,0.0,2.533333333333333,0.2,0.6,1.0,0.6,0.8666666666666667,-0.004,0.9053333333333332,2.0,0.8,1.6,1.0,1.36,0.65,1.8,2.0,14.0,14.0,1,0,0,-3,-20,0,-17,19,2,23,2,12.733333333333333,13.6,5.066666666666666,2.8,6.266666666666667,6.133333333333334,1.7333333333333334,1.6
E0,2015-02-01,Southampton,Swansea,1784.51,1671.45,0,1,2,1.63,0.26,4,10,42,30,2.7333333333333334,0.6666666666666666,1.8666666666666667,0.9333333333333332,1.092,0.9966666666666666,1.6840000000000002,1.3206666666666669,0.8686666666666667,2.4253333333333336,0.7906666666666666,2.527333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,0.5333333333333333,2.6666666666666665,0.7333333333333333,1.9333333333333331,-0.5746666666666669,0.3299999999999999,2.2,0.4,1.0,0.2,0.75,0.52,2.0,1.5,14.0,14.0,0,0,0,0,-12,2,-10,22,10,23,2,8.733333333333333,15.666666666666666,3.0,2.6666666666666665,2.533333333333333,3.8666666666666663,2.2666666666666666,0.2666666666666666
I1,2015-02-01,Sassuolo,Inter,1568.01,1656.09,3,1,1,1.33,1.3,12,11,25,26,0.9333333333333332,1.0666666666666669,1.5333333333333334,1.2666666666666666,1.386,1.1126666666666665,1.4913333333333332,1.0160000000000002,1.724,1.120666666666667,0.8033333333333332,1.1726666666666667,1.6666666666666667,0.8666666666666667,1.2,1.0,1.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,-0.2806666666666666,0.2459999999999997,0.0,3.0,0.0,5.0,0.48,3.97,0.0,0.0,8.0,7.0,2,1,0,-9,-8,-7,-6,6,7,21,2,14.133333333333333,12.8,4.666666666666667,3.0,6.266666666666667,5.466666666666667,3.333333333333333,2.2666666666666666
I1,2015-02-01,Udinese,Juventus,1603.95,1897.77,0,0,X,0.49,0.9,12,1,27,49,1.5333333333333334,2.7333333333333334,0.4666666666666667,2.6,0.8366666666666667,1.645333333333333,0.8200000000000001,0.9813333333333334,1.334,0.6486666666666667,1.0773333333333333,0.7433333333333333,1.5333333333333334,2.6666666666666665,1.1333333333333333,2.333333333333333,1.3333333333333333,0.4,1.7333333333333334,0.6,-0.6966666666666668,-1.0213333333333332,0.0,3.0,0.2,2.6,0.2,1.11,0.8,0.8,6.0,7.0,2,2,0,-7,15,-5,17,8,30,21,2,9.333333333333334,18.4,2.933333333333333,6.933333333333334,4.466666666666667,6.933333333333334,2.1333333333333333,1.3333333333333333
