2.38, 3.4, 3.0, 48.6, 26.9, 24.5, 0
2.4, 3.4, 2.9, 31.6, 29.6, 38.7, 0
3.3, 3.1, 2.38, 34.4, 26.6, 39.0, 2
2.38, 3.1, 3.3, 40.8, 27.7, 31.5, 0
1.62, 3.8, 6.0, 62.6, 21.0, 16.4, 0
1.2, 7.0, 13.0, 72.8, 16.9, 10.3, 0
3.5, 3.1, 2.25, 30.2, 27.2, 42.6, 0
1.95, 3.3, 4.2, 39.4, 31.3, 29.3, 1
2.1, 3.2, 3.8, 29.6, 28.3, 42.1, 1
1.25, 6.5, 15.0, 66.9, 21.3, 11.8, 0
1.6, 4.0, 6.5, 55.4, 25.2, 19.4, 2
3.1, 3.3, 2.38, 29.3, 29.5, 41.2, 0
8.0, 4.33, 1.44, 12.3, 23.0, 64.7, 1
7.5, 3.8, 1.53, 16.5, 25.1, 58.4, 0
5.25, 3.6, 1.73, 17.2, 24.0, 58.8, 2
2.2, 3.2, 3.5, 45.2, 28.6, 26.3, 0
2.05, 3.1, 4.2, 44.1, 27.9, 27.9, 0
1.53, 4.0, 7.0, 66.9, 20.4, 12.7, 0
2.63, 3.2, 2.8, 34.8, 32.9, 32.3, 0
2.25, 3.4, 3.25, 38.9, 27.8, 33.3, 1
3.8, 4.0, 1.85, 32.5, 25.6, 41.9, 1
1.13, 9.0, 19.0, 68.7, 19.8, 11.5, 1
1.53, 4.33, 6.0, 54.5, 26.2, 19.3, 0
1.44, 4.5, 7.5, 55.5, 23.8, 20.7, 2
2.25, 3.4, 3.2, 45.9, 29.2, 24.9, 1
5.5, 3.75, 1.67, 16.1, 21.5, 62.4, 2
1.67, 4.2, 4.75, 44.9, 25.1, 29.9, 2
2.6, 3.3, 2.75, 37.2, 29.3, 33.5, 0
1.57, 3.75, 7.0, 48.0, 25.8, 26.2, 1
5.5, 4.0, 1.62, 32.5, 24.6, 42.9, 2
13.0, 7.0, 1.2, 10.3, 18.7, 71.0, 2
1.91, 3.6, 4.0, 63.4, 21.8, 14.8, 2
1.57, 4.33, 5.5, 58.0, 22.1, 19.8, 0
2.3, 3.3, 3.2, 29.2, 26.8, 44.0, 0
2.88, 3.4, 2.45, 42.6, 26.2, 31.2, 0
1.3, 5.25, 11.0, 68.8, 20.3, 10.9, 0
3.4, 3.1, 2.3, 32.0, 29.6, 38.3, 0
2.5, 3.25, 2.9, 37.3, 24.3, 38.4, 1
3.3, 3.2, 2.3, 19.9, 28.9, 51.1, 1
2.5, 3.2, 3.0, 42.7, 28.6, 28.7, 2
2.2, 3.1, 3.6, 43.4, 29.4, 27.2, 0
2.25, 3.2, 3.4, 32.2, 28.5, 39.2, 0
2.9, 3.1, 2.6, 25.0, 28.6, 46.4, 2
2.2, 3.2, 3.6, 43.2, 28.8, 28.1, 2
3.25, 3.5, 2.3, 32.5, 28.9, 38.6, 0
10.0, 5.25, 1.36, 10.2, 19.0, 70.9, 2
1.91, 3.5, 4.6, 40.6, 31.6, 27.8, 1
1.18, 8.0, 19.0, 75.0, 17.1, 8.0, 1
4.75, 3.6, 1.85, 23.2, 25.5, 51.4, 2
3.4, 3.4, 2.3, 24.4, 27.5, 48.1, 1
3.1, 3.1, 2.5, 30.5, 30.4, 39.1, 2
1.33, 5.0, 10.0, 74.8, 17.3, 7.9, 0
4.2, 3.75, 1.85, 38.3, 27.5, 34.2, 0
1.91, 3.8, 3.8, 57.6, 24.0, 18.4, 1
3.8, 3.3, 2.05, 28.4, 27.2, 44.4, 0
2.8, 3.2, 2.63, 37.0, 25.2, 37.8, 2
9.0, 5.25, 1.33, 10.7, 19.9, 69.4, 2
3.5, 3.1, 2.25, 26.0, 28.8, 45.3, 0
2.2, 3.1, 3.7, 39.4, 28.1, 32.5, 1
3.4, 3.3, 2.2, 37.0, 29.8, 33.2, 1
2.3, 3.4, 3.4, 48.0, 26.8, 25.2, 1
4.2, 3.6, 1.95, 27.3, 29.2, 43.5, 1
1.5, 4.2, 7.0, 68.2, 20.0, 11.8, 0
4.0, 3.4, 2.0, 21.5, 25.1, 53.4, 2
1.8, 3.5, 4.75, 45.6, 29.3, 25.1, 1
1.36, 5.0, 8.5, 68.2, 21.6, 10.2, 0
1.8, 3.5, 4.75, 47.7, 26.7, 25.6, 0
2.6, 3.2, 2.8, 33.7, 27.5, 38.9, 0
1.57, 4.0, 6.0, 60.5, 22.5, 17.1, 2
1.29, 6.0, 12.0, 75.8, 16.3, 7.9, 0
1.91, 3.6, 4.5, 39.4, 25.4, 35.1, 2
2.38, 3.1, 3.5, 42.3, 28.4, 29.3, 0
1.91, 3.8, 4.2, 60.4, 18.9, 20.7, 0
1.33, 5.5, 11.0, 65.9, 19.4, 14.8, 0
5.75, 3.8, 1.7, 22.6, 25.9, 51.5, 2
1.29, 6.0, 12.0, 68.0, 21.8, 10.2, 0
1.73, 3.9, 5.25, 59.8, 21.7, 18.5, 1
2.38, 3.3, 3.3, 38.7, 27.7, 33.6, 1
2.55, 3.25, 3.1, 36.2, 26.0, 37.7, 0
2.6, 3.1, 2.9, 37.3, 26.5, 36.2, 2
1.33, 5.25, 9.5, 64.1, 21.0, 14.9, 0
2.45, 3.2, 3.0, 44.1, 23.5, 32.4, 1
1.33, 5.0, 9.5, 69.4, 20.1, 10.5, 1
1.73, 3.6, 5.25, 60.3, 23.1, 16.6, 0
2.3, 3.5, 3.0, 35.7, 28.9, 35.4, 2
1.95, 3.7, 3.8, 57.0, 24.7, 18.2, 0
2.6, 3.4, 2.7, 35.3, 27.8, 36.9, 0
1.09, 11.0, 26.0, 81.3, 14.6, 4.1, 0
2.3, 3.6, 3.0, 37.0, 25.0, 38.0, 0
1.08, 13.0, 21.0, 77.4, 15.9, 6.7, 0
2.9, 3.1, 2.63, 44.1, 26.1, 29.8, 1
2.1, 3.3, 3.75, 40.8, 26.6, 32.6, 2
1.25, 6.0, 12.0, 69.1, 20.0, 10.9, 1
1.91, 3.3, 4.5, 50.4, 31.8, 17.8, 2
2.25, 3.2, 3.4, 39.8, 30.7, 29.6, 0
2.0, 3.2, 4.2, 43.8, 30.0, 26.2, 1
3.3, 3.3, 2.25, 27.2, 26.6, 46.2, 2
4.0, 3.3, 2.0, 29.6, 28.5, 41.9, 0
2.15, 3.4, 3.5, 37.0, 28.2, 34.8, 2
1.44, 4.5, 7.5, 67.0, 21.2, 11.8, 0
1.05, 15.0, 34.0, 79.8, 14.4, 5.7, 0
3.3, 3.4, 2.2, 25.0, 24.7, 50.3, 0
3.8, 3.25, 2.1, 25.1, 23.9, 50.9, 0
2.6, 3.1, 2.9, 36.6, 30.5, 32.9, 0
2.6, 3.1, 2.9, 32.1, 34.0, 34.0, 2
3.25, 3.25, 2.3, 24.1, 26.9, 49.0, 1
1.75, 3.6, 5.0, 47.8, 29.7, 22.4, 1
1.73, 3.6, 5.0, 65.6, 20.4, 14.0, 1
1.85, 3.6, 4.33, 56.0, 22.9, 21.1, 0
3.4, 3.25, 2.25, 32.3, 26.5, 41.1, 2
1.29, 5.5, 11.0, 69.8, 19.9, 10.2, 1
3.1, 3.25, 2.38, 35.4, 28.0, 36.6, 2
2.63, 3.1, 2.75, 31.3, 26.5, 42.2, 0
15.0, 6.0, 1.22, 8.7, 19.4, 71.8, 1
6.0, 4.0, 1.57, 20.2, 24.5, 55.4, 2
2.4, 3.1, 3.25, 41.8, 26.3, 32.0, 0
3.2, 3.0, 2.38, 30.0, 30.2, 39.8, 2
1.17, 7.0, 19.0, 79.4, 14.7, 5.9, 0
3.1, 3.5, 2.25, 37.3, 23.1, 39.6, 1
3.1, 3.4, 2.3, 36.7, 28.3, 35.0, 1
2.4, 3.5, 2.9, 46.0, 27.7, 26.3, 0
2.05, 3.5, 3.6, 63.5, 22.5, 13.9, 1
2.3, 3.2, 3.3, 39.8, 26.7, 33.5, 1
1.11, 10.0, 21.0, 80.7, 13.9, 5.4, 2
1.2, 6.5, 15.0, 77.5, 16.4, 6.1, 0
3.3, 3.2, 2.3, 41.5, 25.4, 33.0, 2
1.25, 6.0, 12.0, 73.1, 18.3, 8.6, 0
